"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(34  32),8.517699,0.02,2.0,8.517699,20,9
(34  33),8.642699,0.02,2.0,8.642699,15,11
(34  35),0.125,0.0,2.0,0.125,5,33
(34  36),0.0,0.0,2.0,0.0,30,6
(34  37),0.125,0.0,2.0,0.125,5,33
(34  38),0.0,0.0,2.0,0.0,30,6
(34  39),0.125,0.0,2.0,0.125,25,7
(34  40),0.0,0.0,2.0,0.0,5,32
(34  41),0.125,0.0,2.0,0.125,20,9
(34  42),0.0,0.0,2.0,0.0,30,6
(34  43),0.125,0.0,2.0,0.125,20,9
(34  44),0.0,0.0,2.0,0.0,10,16
(34  45),0.125,0.0,2.0,0.125,10,17
(34  46),0.0,0.0,2.0,0.0,25,7
(34  47),0.125,0.0,2.0,0.125,15,11
(35  32),8.392699,0.02,2.0,8.392699,10,17
(35  33),8.517699,0.02,2.0,8.517699,25,7
(35  34),8.392699,0.02,2.0,8.392699,20,9
(35  36),0.125,0.0,2.0,0.125,30,6
(35  37),0.0,0.0,2.0,0.0,5,32
(35  38),0.125,0.0,2.0,0.125,20,9
(35  39),0.0,0.0,2.0,0.0,30,6
(35  40),0.125,0.0,2.0,0.125,30,6
(35  41),0.0,0.0,2.0,0.0,30,6
(35  42),0.125,0.0,2.0,0.125,20,9
(35  43),0.0,0.0,2.0,0.0,30,6
(35  44),0.125,0.0,2.0,0.125,5,33
(35  45),0.0,0.0,2.0,0.0,30,6
(35  46),0.125,0.0,2.0,0.125,25,7
(35  47),0.0,0.0,2.0,0.0,25,7
(36  32),8.517699,0.02,2.0,8.517699,10,17
(36  33),8.642699,0.02,2.0,8.642699,10,17
(36  34),8.517699,0.02,2.0,8.517699,30,6
(36  35),8.642699,0.02,2.0,8.642699,5,33
(36  37),0.125,0.0,2.0,0.125,15,11
(36  38),0.0,0.0,2.0,0.0,10,16
(36  39),0.125,0.0,2.0,0.125,20,9
(36  40),0.0,0.0,2.0,0.0,25,7
(36  41),0.125,0.0,2.0,0.125,20,9
(36  42),0.0,0.0,2.0,0.0,30,6
(36  43),0.125,0.0,2.0,0.125,25,7
(36  44),0.0,0.0,2.0,0.0,25,7
(36  45),0.125,0.0,2.0,0.125,10,17
(36  46),0.0,0.0,2.0,0.0,30,6
(36  47),0.125,0.0,2.0,0.125,30,6
(37  32),8.392699,0.02,2.0,8.392699,5,33
(37  33),8.517699,0.02,2.0,8.517699,10,17
(37  34),8.392699,0.02,2.0,8.392699,30,6
(37  35),8.517699,0.02,2.0,8.517699,30,6
(37  36),8.392699,0.02,2.0,8.392699,15,11
(37  38),0.125,0.0,2.0,0.125,30,6
(37  39),0.0,0.0,2.0,0.0,5,32
(37  40),0.125,0.0,2.0,0.125,30,6
(37  41),0.0,0.0,2.0,0.0,15,11
(37  42),0.125,0.0,2.0,0.125,20,9
(37  43),0.0,0.0,2.0,0.0,25,7
(37  44),0.125,0.0,2.0,0.125,10,17
(37  45),0.0,0.0,2.0,0.0,30,6
(37  46),0.125,0.0,2.0,0.125,20,9
